ts,alarm,is_on,health_smooth,health_band,xgb_pre_alarm_prob,combined_alert,if_raw_score
2021-10-06 15:00:00+00:00,0,0,35.16,alert,0.23993203043937683,0,-0.09424131481420517
2021-10-06 15:05:00+00:00,0,1,35.51,alert,0.3077628016471863,0,-0.06718394951656059
2021-10-06 15:10:00+00:00,0,0,35.85,alert,0.23993203043937683,0,-0.06718394951656059
2021-10-06 15:15:00+00:00,0,0,35.69,alert,0.23993203043937683,0,-0.09480182129137749
2021-10-06 15:20:00+00:00,0,0,35.54,alert,0.264375239610672,0,-0.09462012655068297
2021-10-06 15:25:00+00:00,0,0,35.39,alert,0.264375239610672,0,-0.09550748412230681
2021-10-06 15:30:00+00:00,0,0,35.24,alert,0.264375239610672,0,-0.09550748412230681
2021-10-06 15:35:00+00:00,0,0,35.11,alert,0.264375239610672,0,-0.09564784893109957
2021-10-06 15:40:00+00:00,0,0,34.98,alert,0.264375239610672,0,-0.09536715096624748
2021-10-06 15:45:00+00:00,0,0,34.87,alert,0.264375239610672,0,-0.09508657958377975
2021-10-06 15:50:00+00:00,0,0,34.77,alert,0.264375239610672,0,-0.09508657958377975
2021-10-06 15:55:00+00:00,0,0,34.67,alert,0.264375239610672,0,-0.09513647506502176
2021-10-06 16:00:00+00:00,0,0,34.57,alert,0.264375239610672,0,-0.09572690633229675
2021-10-06 16:05:00+00:00,0,0,34.47,alert,0.264375239610672,0,-0.09572690633229675
2021-10-06 16:10:00+00:00,0,0,34.37,alert,0.264375239610672,0,-0.09671047177689618
2021-10-06 16:15:00+00:00,0,0,34.28,alert,0.24820828437805176,0,-0.09597863657958827
2021-10-06 16:20:00+00:00,0,0,34.21,alert,0.24820828437805176,0,-0.09555741337357138
2021-10-06 16:25:00+00:00,0,0,34.14,alert,0.24820828437805176,0,-0.09555741337357138
2021-10-06 16:30:00+00:00,0,0,34.08,alert,0.24820828437805176,0,-0.09521476815293761
2021-10-06 16:35:00+00:00,0,0,34.03,alert,0.24820828437805176,0,-0.09521476815293761
2021-10-06 16:40:00+00:00,0,0,33.95,alert,0.24820828437805176,0,-0.09692961685964474
2021-10-06 16:45:00+00:00,0,0,33.87,alert,0.24820828437805176,0,-0.09679720167839834
2021-10-06 16:50:00+00:00,0,0,33.78,alert,0.24820828437805176,0,-0.09825866894822011
2021-10-06 16:55:00+00:00,0,0,33.69,alert,0.24820828437805176,0,-0.09825866894822011
2021-10-06 17:00:00+00:00,0,0,33.63,alert,0.24820828437805176,0,-0.09719387603031637
2021-10-06 17:05:00+00:00,0,0,33.51,alert,0.24820828437805176,0,-0.10036884837158966
2021-10-06 17:10:00+00:00,0,0,33.41,alert,0.24820828437805176,0,-0.10036884837158966
2021-10-06 17:15:00+00:00,0,0,33.28,alert,0.2337111085653305,0,-0.1020530711444102
2021-10-06 17:20:00+00:00,0,0,33.13,alert,0.2337111085653305,0,-0.10391126948429841
2021-10-06 17:25:00+00:00,0,0,32.98,alert,0.2337111085653305,0,-0.10391126948429841
2021-10-06 17:30:00+00:00,0,0,32.83,alert,0.2337111085653305,0,-0.105152408560799
2021-10-06 17:35:00+00:00,0,0,32.67,alert,0.2337111085653305,0,-0.10584426532688918
2021-10-06 17:40:00+00:00,0,0,32.51,alert,0.2337111085653305,0,-0.1069570939094272
2021-10-06 17:45:00+00:00,0,0,32.35,alert,0.2337111085653305,0,-0.1069570939094272
2021-10-06 17:50:00+00:00,0,0,32.23,alert,0.19201070070266724,0,-0.1057468569767136
2021-10-06 17:55:00+00:00,0,0,32.17,alert,0.18136081099510193,0,-0.10262643212071276
2021-10-06 18:00:00+00:00,0,0,32.11,alert,0.18136081099510193,0,-0.10262643212071276
2021-10-06 18:05:00+00:00,0,0,32.02,alert,0.17926034331321716,0,-0.10437808088774381
2021-10-06 18:10:00+00:00,0,0,31.75,alert,0.16826727986335754,0,-0.11578190896933294
2021-10-06 18:15:00+00:00,0,0,31.49,alert,0.16826727986335754,0,-0.11578190896933294
2021-10-06 18:20:00+00:00,0,0,31.25,alert,0.16826727986335754,0,-0.11578190896933294
2021-10-06 18:25:00+00:00,0,0,31.02,alert,0.16826727986335754,0,-0.11578190896933294
2021-10-06 18:30:00+00:00,0,0,30.81,alert,0.15153919160366058,0,-0.11578190896933294
2021-10-06 18:35:00+00:00,0,0,30.61,alert,0.15153919160366058,0,-0.11578190896933294
2021-10-06 18:40:00+00:00,0,0,30.43,alert,0.15153919160366058,0,-0.11578190896933294
2021-10-06 18:45:00+00:00,0,0,30.26,alert,0.15153919160366058,0,-0.11578190896933294
2021-10-06 18:50:00+00:00,0,0,30.09,alert,0.15153919160366058,0,-0.11578190896933294
2021-10-06 18:55:00+00:00,0,0,29.92,alert,0.15153919160366058,0,-0.11687489833912867
2021-10-06 19:00:00+00:00,0,0,29.77,alert,0.15153919160366058,0,-0.11687489833912867
2021-10-06 19:05:00+00:00,0,0,29.62,alert,0.15153919160366058,0,-0.11687489833912867
2021-10-06 19:10:00+00:00,0,1,30.47,alert,0.1849566549062729,0,-0.05941044166822629
2021-10-06 19:15:00+00:00,0,0,31.26,alert,0.16165177524089813,0,-0.05941044166822629
2021-10-06 19:20:00+00:00,0,0,31.22,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:25:00+00:00,0,0,31.18,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:30:00+00:00,0,0,31.14,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:35:00+00:00,0,0,31.1,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:40:00+00:00,0,0,31.07,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:45:00+00:00,0,0,31.04,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:50:00+00:00,0,0,31.01,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 19:55:00+00:00,0,0,30.98,alert,0.16165177524089813,0,-0.10511994654944401
2021-10-06 20:00:00+00:00,0,0,30.95,alert,0.16165177524089813,0,-0.10540504457857935
2021-10-06 20:05:00+00:00,0,0,30.73,alert,0.15153919160366058,0,-0.11682742725982054
2021-10-06 20:10:00+00:00,0,0,30.52,alert,0.15153919160366058,0,-0.11697260087144301
2021-10-06 20:15:00+00:00,0,0,30.31,alert,0.15153919160366058,0,-0.11711780722758391
2021-10-06 20:20:00+00:00,0,0,30.13,alert,0.15153919160366058,0,-0.11711780722758391
2021-10-06 20:25:00+00:00,0,0,29.95,alert,0.15153919160366058,0,-0.11726304633562923
2021-10-06 20:30:00+00:00,0,0,29.78,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 20:35:00+00:00,0,0,29.62,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 20:40:00+00:00,0,0,29.47,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 20:45:00+00:00,0,0,29.33,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 20:50:00+00:00,0,0,29.2,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 20:55:00+00:00,0,0,29.08,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 21:00:00+00:00,0,0,28.97,alert,0.15153919160366058,0,-0.11740831820296604
2021-10-06 21:05:00+00:00,0,0,28.86,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:10:00+00:00,0,0,28.76,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:15:00+00:00,0,0,28.66,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:20:00+00:00,0,0,28.57,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:25:00+00:00,0,0,28.49,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:30:00+00:00,0,0,28.41,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:35:00+00:00,0,0,28.34,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:40:00+00:00,0,0,28.27,alert,0.15153919160366058,0,-0.11755362283698356
2021-10-06 21:45:00+00:00,0,0,28.2,alert,0.15153919160366058,0,-0.1179897334130342
2021-10-06 21:50:00+00:00,0,0,28.13,alert,0.15153919160366058,0,-0.1179897334130342
2021-10-06 21:55:00+00:00,0,0,28.07,alert,0.15153919160366058,0,-0.1179897334130342
2021-10-06 22:00:00+00:00,0,0,28.01,alert,0.15153919160366058,0,-0.11813516918769718
2021-10-06 22:05:00+00:00,0,0,27.95,alert,0.15153919160366058,0,-0.11813516918769718
2021-10-06 22:10:00+00:00,0,0,27.89,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:15:00+00:00,0,0,27.84,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:20:00+00:00,0,0,27.79,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:25:00+00:00,0,0,27.74,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:30:00+00:00,0,0,27.69,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:35:00+00:00,0,0,27.65,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:40:00+00:00,0,0,27.61,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:45:00+00:00,0,0,27.58,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:50:00+00:00,0,0,27.54,alert,0.15153919160366058,0,-0.11842613915537392
2021-10-06 22:55:00+00:00,0,0,27.51,alert,0.15153919160366058,0,-0.11828063776601083
2021-10-06 23:00:00+00:00,0,0,27.49,alert,0.15153919160366058,0,-0.11828063776601083
2021-10-06 23:05:00+00:00,0,0,27.46,alert,0.15153919160366058,0,-0.11828063776601083
2021-10-06 23:10:00+00:00,0,0,27.44,alert,0.15153919160366058,0,-0.11828063776601083
2021-10-06 23:15:00+00:00,0,0,27.42,alert,0.15153919160366058,0,-0.11828063776601083
2021-10-06 23:20:00+00:00,0,1,28.36,alert,0.1849566549062729,0,-0.06234962299765334
2021-10-06 23:25:00+00:00,0,0,29.24,alert,0.16165177524089813,0,-0.06234962299765334
2021-10-06 23:30:00+00:00,0,0,29.29,alert,0.16165177524089813,0,-0.10683246525459855
2021-10-06 23:35:00+00:00,0,0,29.35,alert,0.16165177524089813,0,-0.10683246525459855
