ts,alarm,is_on,health_smooth,health_band,xgb_pre_alarm_prob,combined_alert,if_raw_score
2021-05-01 02:05:00+00:00,0,0,67.84,degrading,0.06839223206043243,0,-0.10232339504128074
2021-05-01 02:10:00+00:00,0,0,67.8,degrading,0.06839223206043243,0,-0.10247349820516438
2021-05-01 02:15:00+00:00,0,0,67.77,degrading,0.06839223206043243,0,-0.10247349820516438
2021-05-01 02:20:00+00:00,0,0,67.74,degrading,0.06839223206043243,0,-0.1023466901052279
2021-05-01 02:25:00+00:00,0,0,67.72,degrading,0.06839223206043243,0,-0.1023466901052279
2021-05-01 02:30:00+00:00,0,0,67.7,degrading,0.06839223206043243,0,-0.1023466901052279
2021-05-01 02:35:00+00:00,0,0,67.66,degrading,0.06839223206043243,0,-0.10295782019773037
2021-05-01 02:40:00+00:00,0,0,67.63,degrading,0.06839223206043243,0,-0.10288938726065477
2021-05-01 02:45:00+00:00,0,0,67.6,degrading,0.06839223206043243,0,-0.10288938726065477
2021-05-01 02:50:00+00:00,0,0,67.58,degrading,0.06839223206043243,0,-0.10288938726065477
2021-05-01 02:55:00+00:00,0,0,67.55,degrading,0.06839223206043243,0,-0.10288938726065477
2021-05-01 03:00:00+00:00,0,0,67.54,degrading,0.06839223206043243,0,-0.10250576607592177
2021-05-01 03:05:00+00:00,0,0,67.52,degrading,0.06839223206043243,0,-0.10250576607592177
2021-05-01 03:10:00+00:00,0,0,67.51,degrading,0.06839223206043243,0,-0.10250576607592177
2021-05-01 03:15:00+00:00,0,0,67.5,degrading,0.06839223206043243,0,-0.10250576607592177
2021-05-01 03:20:00+00:00,0,0,67.48,degrading,0.06839223206043243,0,-0.10250576607592177
2021-05-01 03:24:59+00:00,0,0,67.47,degrading,0.06839223206043243,0,-0.10250576607592177
2021-05-01 03:25:00+00:00,0,0,67.47,degrading,0.06839223206043243,0,-0.10225216392031478
2021-05-01 03:30:00+00:00,0,0,67.46,degrading,0.06839223206043243,0,-0.10225216392031478
2021-05-01 03:35:00+00:00,0,0,67.46,degrading,0.06839223206043243,0,-0.10212540573199924
2021-05-01 03:40:00+00:00,0,0,67.46,degrading,0.06839223206043243,0,-0.10212540573199924
2021-05-01 03:45:00+00:00,0,0,67.46,degrading,0.06839223206043243,0,-0.10212540573199924
2021-05-01 03:50:00+00:00,0,0,67.46,degrading,0.06839223206043243,0,-0.10212540573199924
